X,Y
92.99203246438265,1.217332388135033
97.98507412532635,1.71033583085376
86.9792963559521,1.8978949980068174
83.97121529794681,2.1988636578613447
87.95895599363074,2.687389162464394
87.94639277768043,3.0711557098200855
93.92752940662795,3.6904226813524494
93.91053282869463,4.100222412341608
88.89750639716061,4.270053438399611
88.87802859315707,4.6579001056220015
87.85846700904669,4.988965305577221
76.85637947848376,4.700737544183979
74.83941924289526,4.90523469226073
93.77102072442348,6.557108531947779
93.74151739935165,6.966198078367505
93.71022937091404,7.3751549984174245
88.69432972230076,7.369930468586209
82.68415994161488,7.233926648055628
89.62244348171956,8.235145679706214
97.54882743998353,9.39288374698195
96.51194627033844,9.718241976371424
98.45766764145905,10.348317863497694
100.39969016045428,10.995554360048422
84.45360773250994,9.62227317027205
80.43854501334903,9.52052919408485
77.41859982802312,9.505808785601504
96.22448011893235,12.241300006175486
90.22148238501674,11.877883492024694
85.21446717527188,11.597180003540178
85.16305391177504,11.96888668256565
84.12036787967197,12.196872869250242
89.01142770257252,13.302847001664956
81.04564385835637,12.474117667573168
86.91657397237212,13.766232923540317
80.93370205793902,13.180890379513741
95.66970334911144,16.009617768485757
89.68560137428507,15.410804850261238
93.55673653615976,16.496576878358383
89.54770348581246,16.1928626381196
93.4092162185757,17.31237492175401
88.42053579529588,16.787163240786118
101.10759989510939,19.653326523784116
95.13617219911335,18.92376123556444
89.1731481204955,18.142482031964963
87.13504705112796,18.124115851475818
87.0551364653087,18.50414048278058
86.97356847517842,18.883812821923716
94.70071269063354,20.99464255199598
85.83012420474911,19.421374281892096
85.7445657011007,19.79569278226012
79.81709919375677,18.79443205563796
80.70670339300716,19.37596520004015
100.04823319076593,24.481646909595828
91.20779826994365,22.74065818636879
88.20001278331465,22.399949665638367
82.29254943213915,21.282300344627522
82.19890480768517,21.641165597469847
86.93332436601615,23.293714059226865
90.69000843990842,24.724934159049628
89.61763214840194,24.853168975277885
90.47079222664284,25.51540228731698
83.62976754663374,23.980449956078928
70.08363937017279,20.427518024262422
93.00551428221473,27.54948843628047
91.92685063726219,27.666841740872577
92.76156132841443,28.360055358105466
86.90681494560397,26.98528332277698
86.78824251808865,27.364227754888855
87.62041356718161,28.04751551057699
87.49719949915412,28.429563482495162
89.27171786297644,29.437397809472454
89.14242358938273,29.82663770207866
86.17064178405462,29.250991342587678
86.98770895513715,29.952270210058416
90.63254595770728,31.650301945227582
86.72301718048041,30.710231049506948
83.76466535781698,30.0745879022961
87.39141373308948,31.80787332928719
87.25179424079103,32.18888630820685
94.60389111408816,35.37094550720621
94.44865617828718,35.7833948377693
94.29162307621738,36.195162904075325
90.40476332043146,35.15648971351906
89.32008652627437,35.18411776553254
89.16571707570472,35.57351400094428
81.59217920187729,32.96538022060026
87.00080737765124,35.592970031128694
88.69243512108352,36.73760950704862
87.60909230869292,36.73754135549796
81.92493195726718,34.77507043554538
83.61000012354975,35.92169093096832
87.12070706658679,37.88116154789839
86.95459051634748,38.260935536580035
75.82427298433588,33.75914137529142
74.76448757332126,33.67894591430513
85.53635946239507,38.98116480968645
79.91659929660715,36.842056903293674
81.56770083329849,38.03564355666295
81.40096309089311,38.391186591131266
79.42750502278774,37.88497651912997
82.86423801767808,39.968963681206375
86.28422844472004,42.08363009175143
87.89352867020347,43.344291641462114
88.59850179860048,44.17358349787106
83.04704173723574,41.85915501648145
82.86360674951821,42.22111647577785
80.900559875202,41.666526275643065
84.26602915193105,43.86611825732823
87.61377610884114,46.095837512186044
82.11412613588021,43.660855339087846
81.92283865310085,44.01872904819044
79.97235725223887,43.42144718362435
84.16576854792073,46.17492181626122
85.71273129966079,47.51134278414103
84.63211268606132,47.39626042520462
75.72094554677128,42.84084972900164
67.71950753015311,38.70488728666623
96.12881982007268,55.500000000000014
95.02190557248352,55.41513747500789
93.05594932768479,54.81414319975604
82.50301550413946,49.084136263397
81.43089356670066,48.92861711645516
85.49118706729466,51.87732581605214
85.26401643540922,52.24985647159488
84.18487027456072,52.09517844153509
79.71652103870404,49.81241083792126
87.10996563550925,54.96229513930797
83.49575313547568,53.19266122633557
85.78597932236802,55.17939607953538
82.18971565865155,53.37462543147265
81.11975711723267,53.184443263431646
81.72081056258249,54.0898245605817
76.49520433183416,51.112461437803404
90.36509540849954,60.95202647831141
90.09828265486357,61.345737118762464
84.88499742806762,58.339842403257784
86.27292848392719,59.84966007261181
82.73435647318817,57.93122007145565
77.5809477403595,54.82879305353718
75.71274320713768,54.0053748811174
79.53425023257121,57.25646723246857
83.32875042061958,60.54188098612473
83.06379423955069,60.90489378144899
89.22811152851112,66.02532932939889
86.53541177063455,64.61905686163117
84.65536406501305,63.79239245411711
89.15222428387767,67.79292666080417
85.68216075145341,65.74623433294182
82.23171566935972,63.67059712358273
81.16510762149235,63.413131958542806
84.81422853512044,66.86214652546208
87.65211356747035,69.7216393034134
85.787293140217,68.8515819402465
80.82317999152497,65.44932066918311
77.43926440821855,63.270532856251606
77.162458338772,63.60782202777639
77.65302503941942,64.58333920003905
80.4346665274927,67.49269901708662
88.53496649477334,74.9503816385838
89.72790394080366,76.63486970296165
84.84727825101355,73.10909227582492
76.98037718272275,66.91802095703174
71.42478171050284,62.63785243450655
77.89139496205622,68.9124850144367
82.81236863184866,73.9128649260926
86.94794458085512,78.28828094398641
91.78704780836719,83.37348412189884
82.57506172273389,75.66610325295395
82.97844356623247,76.7044842452224
81.9116145813471,76.38381632699983
81.57754862682884,76.74049491655222
81.96730392438849,77.78406705339421
90.29549525746945,86.43913197278367
89.91747504233139,86.83229630737468
89.53774292808178,87.22380748021003
91.29605749173524,89.71638583038091
82.38150357230111,81.66570803689233
82.02438661763952,82.02438661763951
85.88979638362814,86.64261582604082
90.41729509468078,92.00930794088941
82.33927426131827,84.52362932410921
83.35900445507967,86.32077604063812
81.59854058230778,85.23894752305117
83.979258234638,88.49567326349909
89.0737887424267,94.68822608471203
84.56779664774982,90.68785900077714
78.74088648182125,85.18141109453953
78.36846408341658,85.5241710699744
80.68401689216016,88.82617529841984
82.30306458213957,91.40681353371949
86.56461658010848,96.98745875802092
86.80322631626161,98.11319942335928
89.0116850385093,101.49837400966194
85.94373279775645,98.86695500918313
86.16428732507936,99.99857793869455
90.92272676622571,106.45683518400433
89.165109190729,105.32608082998898
83.56238925925011,99.58577760546714
83.127070257476,99.94943816954975
83.32624685638707,101.08282042379132
82.8843980416896,101.44543637476632
82.4409712275287,101.80612095086319
85.75151568921609,106.84417418372479
80.92690276289053,101.7390603908138
77.38674366372925,98.16461636009312
76.95768441570728,98.50134420084025
86.32263648485736,111.4872298978819
89.48793006428194,116.62294102281157
89.58351023034837,117.80829637512406
92.67951356541545,122.9898685472831
91.54366388731086,122.59183334173227
81.49072178493377,110.12838990455877
82.78335077090154,112.90224459744756
83.46550582553118,114.88041320124253
87.05320017997772,120.92452331278683
87.68614631235191,122.9314432718042
88.30321407569673,124.94615793973689
84.88931257995483,121.23450255477078
85.49951438944548,123.24704069132454
88.92577919719875,129.38781161365645
88.92317857582084,130.60118036209582
84.99732132755351,126.01371102836634
