Acceleration(X),Acceleration(Y),Acceleration(Z),Gyroscope(X),Gyroscope(Y),Gyroscope(Z),Euler_Angles(Pitch),Euler_Angles(Roll),Euler_Angles(Yaw),Magnetometer(X),Magnetometer(Y),Magnetometer(Z)
0.013,-0.031,0.998,0.003,-0.019,0.038,-0.77,-1.76,139.4,-30,-33,-8
0.012,-0.03,0.996,0.02,0.102,-0.039,-0.77,-1.75,139.4,-30,-32,-9
0.015,-0.028,0.998,-0.028,-0.034,-0.023,-0.77,-1.75,139.4,-30,-33,-8
0.012,-0.031,0.996,0.02,0.072,0.038,-0.77,-1.75,139.4,-30,-32,-9
0.013,-0.029,0.996,-0.012,-0.004,0.023,-0.77,-1.75,139.4,-30,-32,-8
0.014,-0.032,0.998,0.004,0.027,-0.008,-0.77,-1.76,139.4,-30,-32,-8
0.015,-0.03,0.998,-0.073,-0.018,-0.023,-0.77,-1.76,139.4,-30,-32,-9
0.014,-0.031,1.0,0.003,0.012,0.069,-0.77,-1.76,139.4,-30,-32,-9
0.015,-0.032,0.997,-0.028,-0.049,0.038,-0.77,-1.75,139.4,-30,-33,-9
0.011,-0.028,0.997,0.048,-0.066,-0.023,-0.78,-1.76,139.4,-30,-32,-9
0.012,-0.03,0.999,0.018,-0.035,-0.053,-0.78,-1.76,139.4,-30,-32,-8
0.012,-0.031,0.999,0.003,-0.019,0.008,-0.78,-1.76,139.4,-30,-32,-9
0.014,-0.031,0.999,0.033,-0.05,0.008,-0.78,-1.76,139.4,-30,-32,-9
0.015,-0.033,0.999,-0.027,-0.004,-0.008,-0.78,-1.76,139.4,-30,-32,-8
0.011,-0.028,1.0,-0.059,-0.049,0.054,-0.78,-1.76,139.4,-30,-32,-9
0.014,-0.031,0.998,0.033,-0.05,-0.007,-0.78,-1.76,139.4,-30,-33,-9
0.014,-0.03,0.999,-0.028,-0.049,0.023,-0.78,-1.76,139.4,-31,-32,-9
0.014,-0.03,0.997,0.02,0.087,-0.069,-0.78,-1.76,139.4,-30,-32,-8
0.012,-0.03,0.998,-0.026,0.073,0.023,-0.78,-1.76,139.4,-31,-32,-9
0.015,-0.032,0.997,0.017,-0.08,0.008,-0.78,-1.76,139.4,-30,-32,-8
0.013,-0.03,0.999,0.018,-0.035,-0.023,-0.78,-1.76,139.4,-30,-32,-8
0.014,-0.031,0.999,-0.028,-0.034,-0.038,-0.78,-1.76,139.4,-30,-32,-9
0.017,-0.03,0.998,0.018,-0.035,0.008,-0.78,-1.76,139.4,-31,-32,-9
0.013,-0.03,1.0,-0.012,0.027,-0.023,-0.78,-1.76,139.4,-30,-32,-9
0.011,-0.03,0.998,-0.042,0.058,0.038,-0.78,-1.76,139.4,-30,-33,-9
0.014,-0.028,0.999,-0.042,0.058,-0.039,-0.78,-1.76,139.4,-30,-32,-9
0.014,-0.034,1.0,0.003,-0.019,-0.008,-0.78,-1.76,139.4,-30,-33,-8
0.013,-0.031,0.996,-0.011,0.088,0.022,-0.78,-1.76,139.4,-30,-33,-9
0.014,-0.03,0.998,-0.027,-0.004,-0.054,-0.77,-1.76,139.4,-30,-32,-8
0.013,-0.032,1.001,0.004,0.057,0.038,-0.78,-1.76,139.4,-31,-33,-8
0.015,-0.033,0.997,0.018,-0.035,0.038,-0.77,-1.76,139.4,-30,-32,-9
0.01,-0.03,0.999,-0.044,-0.065,-0.053,-0.78,-1.76,139.4,-30,-32,-8
0.015,-0.03,0.998,0.05,0.087,0.038,-0.78,-1.76,139.4,-30,-32,-8
0.013,-0.031,0.998,-0.013,-0.05,-0.069,-0.77,-1.76,139.4,-31,-32,-8
0.011,-0.03,0.998,-0.028,-0.049,-0.008,-0.77,-1.76,139.4,-30,-32,-8
0.014,-0.031,0.997,0.034,0.026,0.038,-0.77,-1.75,139.4,-30,-32,-8
0.011,-0.03,0.997,-0.042,0.043,-0.008,-0.77,-1.75,139.4,-30,-32,-9
0.011,-0.03,1.0,-0.043,-0.049,-0.038,-0.78,-1.75,139.4,-30,-33,-9
0.015,-0.031,0.997,-0.027,0.012,0.008,-0.78,-1.75,139.4,-30,-32,-9
0.012,-0.031,0.999,0.001,-0.126,-0.084,-0.78,-1.75,139.4,-30,-33,-8
0.012,-0.029,0.999,0.032,-0.111,-0.007,-0.78,-1.75,139.4,-30,-33,-9
0.015,-0.03,0.997,-0.011,0.042,-0.023,-0.78,-1.75,139.4,-30,-32,-9
0.021,-0.026,0.994,-0.074,-0.079,-0.038,-0.78,-1.75,139.4,-30,-32,-8
0.012,-0.031,1.002,0.131,0.331,0.128,-0.78,-1.75,139.4,-30,-32,-9
